main_category_name,sub_category_name,ranking,title,ori_price,dis_price,discount_percent
ALL,ALL,159,[BYC][BYC 본사]고급 냉감 9부 밴딩 슬랙스 OSB1002,19800,19800,10
ALL,ALL,160,반야월할매 당면만두 420gx3봉,9900,9900,50
ALL,ALL,161,[엘칸토]엘칸토 남성 소가죽 샌들 선런칭/스니커즈/정장화,45000,45000,65
ALL,ALL,162,쇼인더룸 15%쿠폰특가 여름신상 티셔츠/팬츠/빅사이즈,12900,12900,69
ALL,ALL,163,프레미뇽 에어스윙 밴드/팬티 4팩 모음+블랭킷 증정,59900,59900,50
ALL,ALL,164,9900원 균일가 로델리 여름원피스 블라우스 핫팬츠,9900,9900,70
ALL,ALL,165,[블랑슈]블랑슈 저자극 시그니처 아기물티슈 캡형 100매 10팩,10900,10900,66
ALL,ALL,166,[구글플레이](카드가능) 기프트코드 20만원 / 구글 기프트카드,190000,190000,5
ALL,ALL,167,[아이러브베베]아이러브베베물티슈핑크100매캡형X20팩,13900,13900,50
ALL,ALL,168,[깨끗한나라]순수브라운 3겹 화장지 27m 30롤  x 2팩(특가),22900,22900,66
ALL,ALL,169,[에그머니](카드가능)(에그머니) 온라인 게임상품권 3만원,27000,27000,10
ALL,ALL,170,[케라시스]케라시스 데미지 대용량 샴푸 4000ml +펌프증정,12500,12500,50
ALL,ALL,171,[코카콜라]코카콜라 190ml x 60CAN,28900,28900,9
ALL,ALL,172,[노르딕내추럴]2개 얼티메이트 오메가3 피쉬 젤라틴 1280 mg EPA 650 / DHA 450 레몬 180 소프트젤 Nordic 빠른직구,79900,79900,18
ALL,ALL,173,[대우]대우 14형 가정용 저소음 스탠드선풍기 RK530 특가,29800,29800,5
ALL,ALL,174,[아웃백스테이크하우스](아웃백/빕스)페이즈 기프트_All 5만원권,47500,47500,5
ALL,ALL,175,귤사랑 감귤 하우스감귤 2kg꼬마소과/2개구매시+500g,14500,14500,33
ALL,ALL,176,[웅진]빅토리아  플레인 500ml x 40개입,17800,17800,20
ALL,ALL,177,[아워홈]지리산수 핑크 500ml 80병 /생수전문배송,15840,15840,35
ALL,ALL,178,[젤리스푼]아동복/아동의류/실내복/여름/키즈바람막이/레깅스,9900,9900,70
ALL,ALL,179,마늘 국내산 GAP 남도 통마늘(대) 2kg,14900,14900,0
ALL,ALL,180,[에프킬라]에프킬라 무향 500mlx3개 모기약,9900,9900,45
ALL,ALL,181,[제주삼다수]제주삼다수 2L 6병 /생수전문배송,5500,5500,38
ALL,ALL,182,율스키친X여수삼촌 새우장/간장깐새우장 400gX2개,13500,13500,30
ALL,ALL,183,[애슐리]애슐리 볶음밥 5종(10인분) 1+1+1+1+1,21900,21900,56
ALL,ALL,184,[다이슨]스마일캐시 1만 적립 에어랩 스타일러 볼륨 앤 쉐이프,495880,495880,8
ALL,ALL,185,[칠성사이다]칠성 사이다 210ml x 30캔,11500,11500,27
ALL,ALL,186,타니즈_여름샌들/뮬/슬리퍼 36종(전 상품 7900 균일),7900,7900,69
ALL,ALL,187,[아디다스](신세계의정부점)[New Performance] QUESTAR FLOW NXT M_[FY5951 FY9559],36640,36640,31
ALL,ALL,188,[뉴케어]뉴케어 구수한맛 200ml x 30팩 /친숙한맛 균형영양식,41900,41900,0
ALL,ALL,189,[엘칸토]엘칸토 남녀 샌들/스니커즈/컴포트화/슬립온/로퍼,45000,45000,65
ALL,ALL,190,[캐시밴질랜드 외] 홈쇼핑 인기 샌들/슈즈 23종,19000,19000,0
ALL,ALL,191,[애경트리오]주방세제 트리오 베이킹소다 담은 1.2Lx5개+수세미)),10000,10000,50
ALL,ALL,192,신상 여성샌들 여성슬리퍼 여자 샌들 슬리퍼 여름샌들,9900,9900,70
ALL,ALL,193,[엘레쎄]엘레쎄 SS 의류 인기상품 특가전,20000,20000,68
ALL,ALL,194,[크리넥스]크리넥스 실크소프트 180매X6입 X 2팩/곽티슈,15900,15900,41
ALL,ALL,195,[Gfresh]산과들에 하루 한줌 견과류 원데이프리미엄 100낱봉,38360,38360,1
ALL,ALL,196,마술피리(초록개구리) 소능력자들 전4권 세트,44000,44000,0
ALL,ALL,197,[크린웰]아르떼 새부리형 마스크 KF94 100매 블랙 개별포장,28900,28900,0
ALL,ALL,198,[SOil](S-OIL) 모바일주유권 5만원/ 실시간발송/ 주유상품권,49000,49000,2
ALL,ALL,199,[브리타]막스트라 플러스 필터 3개월분,20390,20390,20
ALL,ALL,200,[백설]포도씨유 900ml 4개,24210,24210,10
e쿠폰/티켓,ALL,1,[컬쳐랜드문화상품권](스마일클럽) 컬쳐랜드 온라인 문화상품권 5만원,46250,46250,7
e쿠폰/티켓,ALL,2,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권 5만원 /온라인 전용,46500,46500,7
e쿠폰/티켓,ALL,3,[구글플레이](카드가능) 기프트코드 10만원 / 구글 기프트카드,95000,95000,5
e쿠폰/티켓,ALL,4,[한국투자증권](한국투자증권) 온라인 금융상품권 50000원권,50000,50000,0
e쿠폰/티켓,ALL,5,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권 3만원 /온라인 전용,27900,27900,7
e쿠폰/티켓,ALL,6,[해피머니](카드가능)(해피머니) 온라인상품권 5만원,46500,46500,7
e쿠폰/티켓,ALL,7,[구글플레이](카드가능) 기프트코드 5만원 / 구글 기프트카드,47500,47500,5
e쿠폰/티켓,ALL,8,[구글플레이](카드가능) 기프트코드 3만원 / 구글 기프트카드,28500,28500,5
e쿠폰/티켓,ALL,9,[구글플레이](카드가능) 기프트코드 20만원 / 구글 기프트카드,190000,190000,5
e쿠폰/티켓,ALL,10,[에그머니](카드가능)(에그머니) 온라인 게임상품권 5만원,45000,45000,10
e쿠폰/티켓,ALL,11,[구글플레이](카드가능) 기프트코드 1만원 / 구글 기프트카드,9500,9500,5
e쿠폰/티켓,ALL,12,[해피머니](카드가능)(해피머니) 온라인상품권 3만원,27900,27900,7
e쿠폰/티켓,ALL,13,[SOil](S-OIL) 모바일주유권 5만원/ 실시간발송/ 주유상품권,49000,49000,2
e쿠폰/티켓,ALL,14,[에그머니](카드가능)(에그머니) 온라인 게임상품권 3만원,27000,27000,10
e쿠폰/티켓,ALL,15,[메가박스](메가박스) 메가박스 2D 일반관 예매권,8500,8500,29
e쿠폰/티켓,ALL,16,[SOil](S-OIL) 모바일주유권 5만원권,49000,49000,2
e쿠폰/티켓,ALL,17,[현대백화점](현대백화점) 현대 모바일교환권 10만원,97000,97000,3
e쿠폰/티켓,ALL,18,[구글플레이](카드가능) 기프트코드 5천원 / 구글 기프트카드,4750,4750,5
e쿠폰/티켓,ALL,19,(투썸플레이스) 스트로베리 초콜릿 생크림,31090,31090,8
e쿠폰/티켓,ALL,20,[구글플레이](카드가능) 기프트코드 15만원 / 구글 기프트카드,142500,142500,5
e쿠폰/티켓,ALL,21,비룡소 난 책 읽기가 좋아 세트별 선택구매,188000,188000,10
e쿠폰/티켓,ALL,22,[GS수퍼마켓](GS THE FRESH)금액상품권3만원,28500,28500,5
e쿠폰/티켓,ALL,23,씨투엠에듀 플라토 평면도형/입체도형 교구 선택구매,23100,23100,65
e쿠폰/티켓,ALL,24,[구글플레이](카드가능) 기프트코드 1만 5천원 / 구글 기프트카드,14250,14250,5
e쿠폰/티켓,ALL,25,[커피빈](커피빈) 모바일교환권 3만원권,26100,26100,13
e쿠폰/티켓,ALL,26,[SOil](S-OIL) 모바일주유권 3만원/ 실시간발송/ 주유상품권,29400,29400,2
e쿠폰/티켓,ALL,27,[아웃백스테이크하우스](아웃백/빕스)페이즈 기프트_All 5만원권,47500,47500,5
e쿠폰/티켓,ALL,28,[커피빈](커피빈) 모바일교환권 1만원권,8700,8700,13
e쿠폰/티켓,ALL,29,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 온라인문화상품권 1만원권,10000,10000,0
e쿠폰/티켓,ALL,30,[배스킨라빈스](배스킨라빈스) 모바일 3만원권,30000,30000,0
